;;Accumbens;;Amygdala;;Caudate;;Hippocampus;;Pallidum;;Putamen;;Thalamus;;ICV;
;Controls;720,6;89,4;1641,0;162,1;4249,3;439,4;4230,2;351,3;1919,4;160,3;6323,2;531,9;7598,0;497,3;1514437;121652,7
ADHD-UKA;Cases;646,7;81,6;1631,4;172,1;3999,7;435,6;4422,2;310,9;1791,5;176,5;5958,9;546,5;8247,0;497,9;1568741;131724,0
;Controls;700,4;82,3;1742,5;173,5;4097,0;438,5;4629,2;313,1;1722,6;178,3;6212,4;551,2;8115,7;502,1;1557160;132748,1
Bergen-adultADHD;Cases;689,7;78,0;1674,7;155,3;3903,4;436,9;4273,5;383,4;1457,4;152,4;5848,4;476,1;7359,9;506,2;1554535;132266,8
;Controls;715,1;77,8;1728,2;154,8;4066,0;435,7;4341,1;382,9;1522,0;152,1;5976,7;476,1;7492,5;505,1;1579883;132061,5
Bergen-SVG;Cases;757,8;87,7;1719,3;145,1;4101,0;420,9;4444,3;337,6;1730,0;146,2;6592,3;551,4;7517,2;452,8;1455394;152593,8
;Controls;805,1;87,4;1720,4;145,1;4201,0;420,1;4261,5;337,3;1683,3;146,1;6258,7;550,9;7371,1;452,4;1468671;152482,1
DAT-London;Cases;486,4;56,8;1292,4;110,4;3038,1;348,5;3558,7;256,1;1310,0;112,7;4509,1;355,8;6464,5;471,4;1245023;113217,6
;Controls;468,2;56,7;1275,9;110,1;3126,4;348,1;3689,4;254,5;1285,3;112,6;4571,5;354,6;6720,9;469,1;1320732;113217,3
IMpACT-NL;Cases;585,4;68,4;1398,1;127,8;3846,2;339,2;3836,2;285,3;1878,0;163,8;5532,5;502,1;7838,1;577,7;1594031;120847,4
;Controls;584,0;68,4;1402,1;127,8;3870,2;339,1;3856,6;285,3;1883,2;163,8;5596,5;502,1;7855,3;577,6;1583447;120847,4
MGH;Cases;809,5;114,0;1504,1;180,6;3489,8;357,3;3891,2;288,5;1706,5;153,6;6131,3;506,6;6720,7;543,7;1488725;123527,6
;Controls;820,1;114,2;1535,0;180,9;3485,1;357,7;3895,5;289,2;1692,1;153,8;6224,8;507,2;6608,7;544,6;1480752;123697,0
NICHE;Cases;600,9;67,1;1582,1;127,3;4087,7;503,5;4365,1;298,5;1898,6;159,5;5956,5;467,8;8117,7;522,6;1569042;132615,4
;Controls;608,9;67,1;1584,4;127,2;4107,2;503,4;4339,0;298,4;1909,8;159,4;5921,5;467,6;8193,0;522,6;1589609;132604,1
NYU ADHD;Cases;704,8;80,9;1614,2;192,3;3880,5;436,6;4102,7;340,3;1676,7;189,1;6207,1;535,9;7238,1;605,2;1471924;146166,6
;Controls;718,1;80,9;1570,8;192,3;3835,6;436,6;3977,9;340,3;1685,8;189,1;6137,1;535,8;7279,8;605,1;1441679;146166,1
UAB ADHD;Cases;652,9;112,9;1604,6;159,1;3673,6;423,1;4345,1;338,3;1685,8;212,0;5795,4;595,3;7326,9;585,7;1439352;173395,3
;Controls;692,9;113,0;1657,4;159,3;3786,3;423,4;4368,6;338,5;1684,4;212,2;5978,1;595,8;7437,2;585,8;1455691;173494,4
ZI-CAPS;Cases;721,0;110,3;1724,9;138,5;3989,5;414,3;4495,5;303,9;1614,0;152,3;6170,7;682,2;8076,0;478,8;1298499;535821,1
;Controls;653,5;115,0;1718,5;144,1;3883,0;431,8;4563,4;314,8;1612,5;157,3;6171,7;711,1;7990,7;491,9;1371113;558106,7
ADHD-Rubia;Cases;755,4;88,7;1768,9;172,9;4005,9;426,9;4521,7;340,4;1652,7;142,6;6441,9;600,9;7429,1;463,0;1501456;135998,5
;Controls;746,0;89,1;1735,7;173,5;4062,2;428,7;4354,9;342,2;1672,8;143,3;6569,6;603,6;7426,6;465,0;1556224;136147,4
NeuroImage-ADAM;Cases;686,1;78,8;1572,5;132,9;4347,6;460,0;4099,6;283,1;1888,9;179,5;6429,5;588,8;7961,7;508,9;1614485;120453,2
;Controls;683,0;78,9;1586,0;133,1;4277,6;460,7;4094,8;283,6;1886,3;179,9;6354,9;589,7;7820,9;509,7;1622740;120648,4
NeuroImage-NIJM;Cases;640,6;73,4;1462,5;130,9;4076,3;342,3;3954,0;244,0;1811,0;168,9;6090,9;422,9;7736,1;498,8;1602379;123342,9
;Controls;640,3;73,8;1517,9;131,8;4125,2;344,9;4013,2;245,4;1792,4;170,1;6016,2;425,1;7778,4;503,1;1645192;123470,6
NIH;Cases;647,6;81,0;1517,2;136,2;3803,4;396,7;4238,3;316,0;1651,3;145,7;5896,9;461,0;NA;NA;1401798;108422,9
;Controls;643,6;81,0;1544,5;136,1;3875,5;396,7;4293,2;315,8;1666,1;145,7;5954,5;461,0;NA;NA;1434138;108423,0
MTA;Cases;612,8;98,9;1572,5;164,5;4027,4;432,2;4270,4;366,8;1861,3;231,4;5930,4;496,3;8100,8;794,2;1476018;195674,5
;Controls;629,3;100,5;1588,9;167,5;4120,9;438,9;4212,6;373,3;1806,8;234,9;6017,3;503,8;8101,4;806,6;1454559;198640,9
